Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
HTRA1,-147.903283525167,3.15189991068315e-21,5.06951581634278e-17,160.806267,308.70955,1,1
DDN,-29.6328758952594,2.59612202627062e-19,1.98930001543589e-15,24.00538,53.638256,1,1
AIF1,-34.8511144134389,3.71045762640367e-19,1.98930001543589e-15,34.119944,68.971058,1,1
NEDD9,-18.09234834199,5.38139351512597e-19,2.16385833243215e-15,21.228594,39.320942,1,1
ALDOB,-103.131731038142,2.53950356212752e-18,8.16907505865181e-15,32.868548,136.000279,1,1
ELOA3D,29.7098533689202,5.6873907598934e-18,1.52459988303542e-14,51.97482,22.264967,1,1
ITM2B,-281.270849682036,5.19094154205729e-17,1.09694857192553e-13,453.348716,734.619565,1,1
PCOLCE2,-29.7566320017991,5.45609834332519e-17,1.09694857192553e-13,27.193067,56.949699,1,1
MAL2,-32.5489200042268,9.8776996400255e-17,1.76525467789078e-13,37.216746,69.765666,1,1
CDKN1C,-125.202210944452,1.1752501321107e-16,1.85543111015361e-13,102.792997,227.995208,1,1
VEGFA,-161.272711131136,1.26894691691679e-16,1.85543111015361e-13,167.105233,328.377944,1,1
THSD7A,-17.8606050974363,2.32626585060255e-16,3.11797166175762e-13,24.015983,41.876588,1,1
RPL7A,48.6310806879921,4.20201296263859e-16,5.19885973008301e-13,225.498652,176.867571,1,1
TSPY1,11.8607558267242,4.72121688113411e-16,5.29833549711904e-13,18.925311,7.064555,1,1
RPS2,49.4912228701262,4.94124797667157e-16,5.29833549711904e-13,140.205701,90.714478,1,1
MME,-176.980016002407,6.43258503803016e-16,6.36012182988426e-13,176.12582,353.105836,1,1
MPP5,-26.9599372145074,6.72233717408807e-16,6.36012182988426e-13,29.454203,56.414141,1,1
ITGB2,10.1285183950506,8.75403644882846e-16,7.82221790238649e-13,21.84932,11.720801,1,1
KRTAP10-3,25.8942666091616,1.55273097734314e-15,1.31442763366248e-12,63.232616,37.338349,1,1
DCN,-97.7311322816351,1.9472425147699e-15,1.56597243037795e-12,91.06012,188.791253,1,1
DUX4,177.902173673952,2.73438112047036e-15,2.09427552103073e-12,373.759592,195.857418,1,1
ELOA3,31.1986246183837,2.9016899251717e-15,2.12139912529371e-12,57.850442,26.651817,1,1
SYNPO,-50.3802774117623,3.80855446655567e-15,2.66333869739485e-12,63.583873,113.96415,1,1
TSC22D3,-21.4437208440569,4.27588550264965e-15,2.86555593435904e-12,27.699079,49.142799,1,1
NDNF,-135.056994179799,6.66046306523267e-15,4.28507551764809e-12,108.494154,243.551148,1,1
PHAX,32.9704712194109,7.23300592880371e-15,4.47444874457226e-12,95.965682,62.995211,1,1
NEBL,-26.5427605431489,7.93948038589788e-15,4.64698575444723e-12,40.199889,66.74265,1,1
TSPAN2,-16.3495308352583,8.0897538625045e-15,4.64698575444723e-12,17.457186,33.806716,1,1
CLIC5,-123.438730207529,8.38815942335437e-15,4.65224676431833e-12,181.319904,304.758634,1,1
ARRDC4,-18.6456324482205,1.56031384878873e-14,8.36536264797266e-12,27.135249,45.780882,1,1
SEC14L1,-25.3982422988308,1.66593840366229e-14,8.64353331758204e-12,47.672769,73.071011,1,1
DHRS3,-25.9181779545623,2.81657659970972e-14,1.4156818134291e-11,36.189121,62.107299,1,1
MYLK,-21.5243372074281,3.23847215338843e-14,1.57841170045756e-11,34.904678,56.429015,1,1
GATM,-19.7353983671978,5.36443529903956e-14,2.5376934514633e-11,12.805797,32.541196,1,1
FAM90A1,27.3320838541523,6.28061340851052e-14,2.88621103035666e-11,48.389389,21.057305,1,1
NUCB1,-36.3088559777534,7.19610168874872e-14,3.16097741348118e-11,75.033175,111.342031,1,1
RIDA,-7.46581752320905,7.27158445031111e-14,3.16097741348118e-11,11.987149,19.452967,1,1
SLC7A8,-13.9020425805454,8.47632532226828e-14,3.58771622324639e-11,22.298481,36.200524,1,1
PTGDS,-63.4555256081179,8.84255919041738e-14,3.6467621030429e-11,112.487308,175.942834,1,1
RPS19,31.1735053599139,1.00596859787804e-13,4.04499973206761e-11,105.86595,74.692445,1,1
ZNF587,38.836717069579,1.15775984382574e-13,4.54180715319344e-11,97.998476,59.161759,1,1
RCAN1,-24.5038972695669,1.23516551621185e-13,4.73009575303604e-11,38.631547,63.135444,1,1
PLS3,-16.8073069964997,1.28742988667306e-13,4.81558658075571e-11,26.178124,42.985431,1,1
USP18,21.0828042685728,1.95872747519251e-13,7.16003925249917e-11,46.045464,24.96266,1,1
KLK7,-22.9209618527136,2.01565137050949e-13,7.2043859207277e-11,27.013401,49.934363,1,1
HPGD,-38.067782845504,2.48255041547367e-13,8.680291496191e-11,30.117294,68.185077,1,1
PMEPA1,-12.0332557070049,2.69727619979893e-13,9.23042348884383e-11,15.878692,27.911948,1,1
SPOCK2,-63.1221528658792,2.91719961322802e-13,9.74675212048266e-11,113.941273,177.063426,1,1
ISCU,-14.3355876453339,2.96935372981628e-13,9.74675212048266e-11,33.085795,47.421383,1,1
MT1G,-33.9708337950672,3.10231357730758e-13,9.97952231548303e-11,30.148769,64.119603,1,1
