,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
1310,PODXL_SELL,PODXL,SELL,Nephron_epithelium,DC,True,-92.3545642566545,0.0115656016195748,1,False,NA,NA,0.7826086956521741
116,TGFB1_TGFBR3,TGFB1,TGFBR3,CD8 T cell,Endothelium,False,NA,NA,0.3161290322580645,True,-18.1543589009868,0.0108459579092956,1
767,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Nephron_epithelium,DC,False,NA,NA,"[0.726913730255164, 0.17496962332928312]",True,-3.15170077783893,0.00163958384977319,1
1579,CD47_SIRB1 complex,CD47,"['SIRPB1', 'TYROBP']",DC,MNP,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,"[0.1934065934065934, 0.9813186813186812]"
549,FLT1 complex_VEGFA,"['FLT1', 'KDR']",VEGFA,Endothelium,MNP,False,NA,NA,"[0.7355072463768116, 0.4316770186335404]",True,-161.272711131136,1.85543111015361e-13,1
61,THBS1_a3b1 complex,THBS1,"['ITGA3', 'ITGB1']",Mast cell,Mesangial_cells,False,NA,NA,0.1153846153846154,True,"[-38.026134707711, -39.6176785934195]","[7.36142244746803e-08, 1.42091864873846e-09]","[1, 1]"
1257,PLXNB1_SEMA4D,PLXNB1,SEMA4D,Proximal_tubular_cells,NK cell,False,NA,NA,0.10144927536231883,True,-2.2159663770794,0.00815986438104258,1
616,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,CD8 T cell,DC,False,NA,NA,"[1.0, 0.2967741935483871]",True,-3.15170077783893,0.00163958384977319,1
1467,HLA-E_KLRK1,HLA-E,KLRK1,NK cell,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.14838709677419354
35,COL4A5_a2b1 complex,COL4A5,"['ITGB1', 'ITGA2']",Podocytes,Distal_tubules_and_collecting_duct,True,-4.64555523715494,0.0063016608218016,1,False,NA,NA,"[0.759009009009009, 0.34459459459459457]"
1247,PLXNB1_SEMA4D,PLXNB1,SEMA4D,Distal_tubules_and_collecting_duct,CD8 T cell,False,NA,NA,0.2364864864864865,True,-2.2159663770794,0.00815986438104258,1
973,CD46_JAG1,CD46,JAG1,Mesangial_cells,Mesangial_cells,True,-12.6904585184301,6.27833014443044e-08,1,False,NA,NA,0.4915254237288136
563,NRP1_VEGFA,NRP1,VEGFA,Endothelium,MNP,True,-6.5367172113572805,0.00477973732505578,1,True,-161.272711131136,1.85543111015361e-13,1
1232,PLXNB2_SEMA4D,PLXNB2,SEMA4D,Podocytes,NK cell,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
473,CD74_APP,CD74,APP,Neutrophil,Podocytes,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.5366795366795367
333,CD74_APP,CD74,APP,DC,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
861,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Loop_of_Henle,Loop_of_Henle,False,NA,NA,"[0.7917222963951935, 0.2650200267022697]",True,-3.15170077783893,0.00163958384977319,1
642,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,DC,Private,False,NA,NA,"[1.0, 0.7826086956521741]",True,-3.15170077783893,0.00163958384977319,1
1540,CD47_SIRPG,CD47,SIRPG,Distal_tubules_and_collecting_duct,CD8 T cell,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,0.3096774193548387
1099,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Distal_tubules_and_collecting_duct,Private,False,NA,NA,0.16441441441441446,True,-4.8368024444167315,0.00154622415495639,1
587,NRP1_PGF,NRP1,PGF,Mesangial_cells,Mesangial_cells,True,-6.5367172113572805,0.00477973732505578,1,False,NA,NA,0.3644067796610169
497,CD74_APP,CD74,APP,Private,MNP,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.3516483516483517
713,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Mast cell,NK cell,False,NA,NA,"[1.0, 0.5384615384615384]",True,-3.15170077783893,0.00163958384977319,1
1376,HLA-E_KLRC1,HLA-E,KLRC1,NK cell,Private,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.15544554455445544
478,CD74_APP,CD74,APP,Podocytes,CD8 T cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.14838709677419354
321,CD74_APP,CD74,APP,DC,B cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.32432432432432434
1199,PLXNB2_SEMA4D,PLXNB2,SEMA4D,Distal_tubules_and_collecting_duct,CD8 T cell,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
1418,HLA-E_KLRC2,HLA-E,KLRC2,MNP,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.10967741935483873
1322,PODXL_SELL,PODXL,SELL,Podocytes,NK cell,True,-92.3545642566545,0.0115656016195748,1,False,NA,NA,0.16688396349413298
900,PLXNB2_SEMA4C,PLXNB2,SEMA4C,Mesangial_cells,Distal_tubules_and_collecting_duct,True,-4.08481368770848,0.0272985694750045,1,False,NA,NA,0.10135135135135136
1000,SIRPA_CD47,SIRPA,CD47,Podocytes,NK cell,True,-5.34035938616956,0.0190914441331754,1,True,-5.21611639328334,0.00179869684824925,1
1151,JAG1_NOTCH2,JAG1,NOTCH2,Distal_tubules_and_collecting_duct,Podocytes,False,NA,NA,0.2882882882882883,True,-5.185172494183711,0.0035674841016713897,1
1073,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Proximal_tubular_cells,MNP,False,NA,NA,0.2587991718426501,True,-4.8368024444167315,0.00154622415495639,1
1215,PLXNB2_SEMA4D,PLXNB2,SEMA4D,MNP,Distal_tubules_and_collecting_duct,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
541,CD74_APP,CD74,APP,Mesangial_cells,Mesangial_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.6186440677966102
738,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,NK cell,Distal_tubules_and_collecting_duct,False,NA,NA,"[1.0, 0.1290743155149935]",True,-3.15170077783893,0.00163958384977319,1
1398,HLA-E_KLRC1,HLA-E,KLRC1,Proximal_tubular_cells,Private,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.15544554455445544
897,PLXNB2_SEMA4C,PLXNB2,SEMA4C,Loop_of_Henle,Endothelium,True,-4.08481368770848,0.0272985694750045,1,False,NA,NA,0.10869565217391304
943,CD46_JAG1,CD46,JAG1,MNP,Endothelium,True,-12.6904585184301,6.27833014443044e-08,1,False,NA,NA,0.11801242236024845
1541,CD47_SIRPG,CD47,SIRPG,Distal_tubules_and_collecting_duct,Private,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,0.11188118811881187
732,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Mesangial_cells,Private,False,NA,NA,"[0.9576271186440678, 0.3389830508474576]",True,-3.15170077783893,0.00163958384977319,1
653,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Distal_tubules_and_collecting_duct,NK cell,False,NA,NA,"[0.9842342342342344, 0.8490990990990991]",True,-3.15170077783893,0.00163958384977319,1
1324,PODXL_SELL,PODXL,SELL,Podocytes,Neutrophil,True,-92.3545642566545,0.0115656016195748,1,False,NA,NA,0.21014492753623187
141,TGFB1_TGFBR3,TGFB1,TGFBR3,MNP,Podocytes,False,NA,NA,0.476923076923077,True,-18.1543589009868,0.0108459579092956,1
612,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,B cell,Private,False,NA,NA,"[1.0, 0.472972972972973]",True,-3.15170077783893,0.00163958384977319,1
1504,LILRA4_BST2,LILRA4,BST2,DC,Loop_of_Henle,False,NA,NA,0.8695652173913043,True,-13.340345767669401,0.00012667437940071398,1
62,THBS1_a3b1 complex,THBS1,"['ITGA3', 'ITGB1']",Mast cell,Podocytes,False,NA,NA,0.1153846153846154,True,"[-38.026134707711, -39.6176785934195]","[7.36142244746803e-08, 1.42091864873846e-09]","[1, 1]"
0,COL4A5_a10b1 complex,COL4A5,"['ITGA10', 'ITGB1']",Distal_tubules_and_collecting_duct,Mesangial_cells,True,-4.64555523715494,0.0063016608218016,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
1027,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Distal_tubules_and_collecting_duct,MNP,False,NA,NA,0.231981981981982,True,-4.8368024444167315,0.00154622415495639,1
741,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,NK cell,MNP,False,NA,NA,"[1.0, 0.1290743155149935]",True,-3.15170077783893,0.00163958384977319,1
1104,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,DC,False,NA,NA,0.11648351648351647,True,-4.8368024444167315,0.00154622415495639,1
209,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,NK cell,MNP,False,NA,NA,"[0.3441981747066493, 0.96870925684485]",True,-56.6277070258774,0.000458079848881171,1
1533,CD47_SIRPG,CD47,SIRPG,B cell,Private,True,-5.21611639328334,0.00179869684824925,1,False,NA,NA,0.11188118811881187
1181,JAG1_NOTCH4,JAG1,NOTCH4,Endothelium,MNP,False,NA,NA,0.11801242236024845,True,-4.9064196914993605,0.0012356679553589,1
474,CD74_APP,CD74,APP,Neutrophil,Private,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.19702970297029704
1483,HLA-E_KLRK1,HLA-E,KLRK1,Proximal_tubular_cells,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.14838709677419354
143,TGFB1_TGFBR3,TGFB1,TGFBR3,Mast cell,Distal_tubules_and_collecting_duct,False,NA,NA,0.2307692307692308,True,-18.1543589009868,0.0108459579092956,1
792,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Neutrophil,Podocytes,False,NA,NA,"[0.8840579710144928, 0.15217391304347827]",True,-3.15170077783893,0.00163958384977319,1
920,NOTCH1_JAG1,NOTCH1,JAG1,Endothelium,Distal_tubules_and_collecting_duct,True,-3.63167325862043,0.003762413966590471,1,False,NA,NA,0.2882882882882883
1129,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,Proximal_tubular_cells,Podocytes,False,NA,NA,0.10559006211180123,True,-4.8368024444167315,0.00154622415495639,1
832,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Proximal_tubular_cells,MNP,False,NA,NA,"[0.9606625258799172, 0.6252587991718427]",True,-3.15170077783893,0.00163958384977319,1
545,CD74_APP,CD74,APP,Private,Private,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.19702970297029704
330,CD74_APP,CD74,APP,DC,Nephron_epithelium,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.22023086269744835
1034,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Distal_tubules_and_collecting_duct,Private,False,NA,NA,0.231981981981982,True,-4.8368024444167315,0.00154622415495639,1
1189,JAG1_NOTCH4,JAG1,NOTCH4,Mesangial_cells,Mesangial_cells,False,NA,NA,0.4915254237288136,True,-4.9064196914993605,0.0012356679553589,1
546,CD74_APP,CD74,APP,Proximal_tubular_cells,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
145,TGFB1_TGFBR3,TGFB1,TGFBR3,Mast cell,NK cell,False,NA,NA,0.2307692307692308,True,-18.1543589009868,0.0108459579092956,1
335,CD74_APP,CD74,APP,Distal_tubules_and_collecting_duct,B cell,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.32432432432432434
