gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	celltype_Nephron_epithelium	celltype_Endothelium	celltype_Podocytes	celltype_Distal_tubules_and_collecting_duct	celltype_Proximal_tubular_cells	celltype_Loop_of_Henle	celltype_Private	celltype_Neutrophil	celltype_MNP	celltype_Mesangial_cells	celltype_NKT cell	celltype_Mast cell	celltype_Th cell	celltype_NK cell	celltype_CD8 T cell	celltype_B cell	celltype_DC
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.064	0.087	0.034	0.086	0.146	0.065	0.034	0.0	0.073	0.07	0.039	0.024	0.072	0.033	0.045	0.027	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.064	0.087	0.034	0.086	0.146	0.065	0.034	0.0	0.073	0.07	0.039	0.024	0.072	0.033	0.045	0.027	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.064	0.087	0.034	0.086	0.146	0.065	0.034	0.0	0.073	0.07	0.039	0.024	0.072	0.033	0.045	0.027	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.064	0.087	0.034	0.086	0.146	0.065	0.034	0.0	0.073	0.07	0.039	0.024	0.072	0.033	0.045	0.027	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.035	0.087	0.034	0.08	0.057	0.024	0.025	0.0	0.03	0.07	0.039	0.0	0.079	0.033	0.034	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.027	0.087	0.011	0.051	0.108	0.021	0.006	0.0	0.014	0.07	0.011	0.0	0.024	0.009	0.0	0.003	0.0
