,slidename,scanname,roilabel,segmentlabel,sample_id,aoisurfacearea,aoinucleicount,roicoordinatex,roicoordinatey,rawreads,trimmedreads,stitchedreads,alignedreads,deduplicatedreads,sequencingsaturation,umiq30,rtsq30,disease_status,pathology,region,loq,normalizationfactor,roireportx,roireporty,idx,region_exact,ct_deconv_b cell,ct_deconv_cd8 t cell,ct_deconv_dc,ct_deconv_distal_tubules_and_collecting_duct,ct_deconv_endothelium,ct_deconv_loop_of_henle,ct_deconv_mnp,ct_deconv_mast cell,ct_deconv_mesangial_cells,ct_deconv_nk cell,ct_deconv_nkt cell,ct_deconv_nephron_epithelium,ct_deconv_neutrophil,ct_deconv_podocytes,ct_deconv_private,ct_deconv_proximal_tubular_cells,ct_deconv_th cell,x_2d_umap,y_2d_umap,x_3d_umap,y_3d_umap,barcode,image_file_name
disease3_scan | 001 | PanCK,disease3,disease3_scan,1,PanCK,DSP-1001250007864-D-H01,22152.10924,183,23572,-39228,7485137,7423555,7364647,6981003,729971,90.24772693,0.9944,0.9937,DKD,,tubule,36.23893998,0.400860685,4236,-8628,149,distal tubule,0.165366967,0,0.144766266,5.91261895,1.065526619,6.559796636,0,0.010615939,1.949579619,0.792261024,0,0.984001936,0,0,0,1.81311888,0,-0.5006605,3.2767515,6.381473,6.985444,disease3_scan | 001 | PanCK,disease3_scan - 001 - PanCK
disease3_scan | 001 | neg,disease3,disease3_scan,1,neg,DSP-1001250007864-D-H02,71817.92407,421,23572,-39228,11365209,11264938,11163492,10486650,1213754,89.32044277,0.9943,0.9935,DKD,,tubule,62.92290087,0.246242992,4236,-8628,150,proximal tubule,0.429077711,0,0.11633539,0.158539141,1.864872107,3.693691135,0.359314662,0.033528008,2.786311875,1.040059903,0,0.900638868,0,0,0,4.074633992,0,-0.5596574,4.9137616,5.937518,5.829592,disease3_scan | 001 | neg,disease3_scan - 001 - neg
disease3_scan | 002 | PanCK,disease3,disease3_scan,2,PanCK,DSP-1001250007864-D-H03,37316.6978,323,22404,-47078,5764010,5716732,5675008,5412997,898058,84.41956208,0.9943,0.9936,DKD,,tubule,42.64231724,0.325226594,3945,-10603,151,distal tubule,0.160136318,0,0.146486598,6.320372581,1.209093379,8.880168256,0,0.025803525,2.070077784,0.691347382,0,0.646673544,0,0,0,1.328950463,0,-0.40563846,2.965492,6.6144743,7.309767,disease3_scan | 002 | PanCK,disease3_scan - 002 - PanCK
disease3_scan | 002 | neg,disease3,disease3_scan,2,neg,DSP-1001250007864-D-H04,102112.7268,565,22404,-47078,12870214,12767450,12672391,11929146,1471691,88.56513963,0.9945,0.9938,DKD,,tubule,71.28489581,0.202788347,3945,-10603,152,proximal tubule,0.44246831,0,0.155962771,0.296930325,2.417754613,6.044222011,0.283120265,0.025277139,2.978519106,0.91332742,0,0.785814703,0,0,0,2.404159715,0,-0.4439049,4.878418,5.885879,6.070858,disease3_scan | 002 | neg,disease3_scan - 002 - neg
disease3_scan | 003 | PanCK,disease3,disease3_scan,3,PanCK,DSP-1001250007864-D-H05,18398.68515,162,26308,-51612,3411689,3382824,3357777,3198844,486670,85.73521795,0.9943,0.9937,DKD,,tubule,19.66864584,0.574566982,4910,-11731,153,distal tubule,0.310115046,0,0.248368822,3.837155222,1.534945281,12.66917671,0.126364947,0.027154482,3.242177024,1.004190289,0,1.26769946,0,0,0,3.36571747,0,-0.7552057,3.4185274,6.2290373,6.997135,disease3_scan | 003 | PanCK,disease3_scan - 003 - PanCK
disease3_scan | 003 | neg,disease3,disease3_scan,3,neg,DSP-1001250007864-D-H06,85148.24407,490,26308,-51612,9362879,9287046,9212501,8666469,900719,90.37989277,0.9945,0.9938,DKD,,tubule,41.58222868,0.331480951,4910,-11731,154,proximal tubule,0.44002805,0,0.174225774,0.043822325,2.346836214,5.544912659,0.490502604,0.033307239,4.425219203,1.168763794,0,1.170791789,0,0,0,5.691154627,0,-0.8989421,4.6948175,6.1322484,5.8799114,disease3_scan | 003 | neg,disease3_scan - 003 - neg
disease3_scan | 004 | PanCK,disease3,disease3_scan,4,PanCK,DSP-1001250007864-D-H07,34778.48067,293,17325,-23304,13944956,13833308,13719967,12996696,1364891,90.21229612,0.9947,0.994,DKD,,tubule,61.01221297,0.215462618,2671,-4634,155,distal tubule,0.279019026,0,0.093817868,1.64020765,1.207229608,12.94589664,0.13377714,0.027410174,2.611886695,0.796172524,0,0.973305335,0,0,0,1.041727048,0,-0.20780963,3.3362172,6.6800947,7.183854,disease3_scan | 004 | PanCK,disease3_scan - 004 - PanCK
disease3_scan | 004 | neg,disease3,disease3_scan,4,neg,DSP-1001250007864-D-H08,87237.4963,758,17325,-23304,12560668,12469636,12377552,11713515,1280058,89.80899742,0.9949,0.9942,DKD,,tubule,58.66622855,0.23293256,2671,-4634,156,proximal tubule,0.394471719,0.174737663,0.171397537,0,3.404864505,3.865868679,1.138812169,0.051277078,6.037378406,1.040448415,0,1.219807965,0,0,0.00019996,1.968311745,0,-0.5710887,4.7165203,6.0185432,6.232607,disease3_scan | 004 | neg,disease3_scan - 004 - neg
disease3_scan | 005 | PanCK,disease3,disease3_scan,5,PanCK,DSP-1001250007864-D-H09,23435.74219,201,19799,-24688,7081335,7023806,6969863,6624048,714769,89.90629592,0.9944,0.9937,DKD,,tubule,30.2498288,0.400860685,3286,-5009,157,distal tubule,0.513798363,0,0.141318715,1.531955584,1.178976934,13.43090898,0.0529382,0.033846956,3.054513445,0.55883996,0,0.923708594,0,0,0,1.942929106,0,-0.55547684,3.248432,6.5043917,6.842811,disease3_scan | 005 | PanCK,disease3_scan - 005 - PanCK
disease3_scan | 005 | neg,disease3,disease3_scan,5,neg,DSP-1001250007864-D-H10,78840.78742,714,19799,-24688,8937231,8854957,8773292,8321872,1055321,88.19185719,0.9944,0.9938,DKD,,tubule,43.46058185,0.282573926,3286,-5009,158,proximal tubule,0.66852204,0.105549835,0.181515714,0,3.427659945,5.963592764,0.769883206,0.053179403,5.756623901,1.111103306,0,0.917175693,0,0,0,3.062186749,0,-0.8251121,4.368242,6.2127686,6.138946,disease3_scan | 005 | neg,disease3_scan - 005 - neg
